Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-22,144.596,145.993,144.576,145.421,1678586,0.0,0.0
2019-04-23,145.068,146.093,144.516,146.059,1867913,0.0,0.0
2019-04-24,145.727,146.226,145.128,145.78,2450484,0.0,0.0
2019-04-25,131.447,132.392,126.163,126.909,17516855,0.0,0.0
2019-04-26,126.782,127.927,126.004,127.541,5371595,0.0,0.0
2019-04-29,127.441,127.887,126.263,126.569,4548866,0.0,0.0
2019-04-30,127.002,127.002,124.134,126.104,5431036,0.0,0.0
2019-05-01,126.09,126.237,123.715,123.814,4566926,0.0,0.0
2019-05-02,122.77,124.101,122.025,122.936,6763260,0.0,0.0
2019-05-03,123.641,124.227,122.497,123.249,5678249,0.0,0.0
2019-05-06,121.133,121.845,119.862,121.798,7795050,0.0,0.0
2019-05-07,120.98,121.04,118.318,119.19,6477058,0.0,0.0
2019-05-08,119.449,120.128,118.777,118.837,3576638,0.0,0.0
2019-05-09,117.979,118.045,115.903,116.635,6097447,0.0,0.0
2019-05-10,116.462,117.333,115.124,117.021,5994711,0.0,0.0
2019-05-13,115.743,116.169,114.978,115.829,7076373,0.0,0.0
2019-05-14,116.309,117.759,116.122,116.588,4800744,0.0,0.0
2019-05-15,115.796,116.881,115.55,115.863,3606538,0.0,0.0
2019-05-16,116.042,116.042,114.026,114.326,4831242,0.0,0.0
2019-05-17,113.121,113.294,112.077,112.516,5495620,0.0,0.0
2019-05-20,111.764,111.764,110.2,110.626,5232022,0.0,0.0
2019-05-21,111.132,111.404,110.579,111.325,4961247,0.0,0.0
2019-05-22,111.411,113.627,110.766,112.948,5387023,0.0,0.0
2019-05-23,112.465,112.948,110.458,111.317,4580919,1.204,0.0
2019-05-24,111.633,112.358,110.948,111.465,2830812,0.0,0.0
2019-05-28,111.942,112.069,109.626,109.626,5830620,0.0,0.0
2019-05-29,109.398,109.928,107.714,108.318,4388124,0.0,0.0
2019-05-30,108.318,108.901,107.378,107.767,2964525,0.0,0.0
2019-05-31,107.264,107.875,107.13,107.21,4212192,0.0,0.0
2019-06-03,107.21,108.385,106.922,107.405,4456894,0.0,0.0
2019-06-04,108.539,110.794,108.438,110.257,4481173,0.0,0.0
2019-06-05,110.827,111.291,109.311,109.962,3781274,0.0,0.0
2019-06-06,110.062,111.64,109.029,110.546,4283833,0.0,0.0
